x,y,pen
633,671,2
1345,671,2
1158,672,2
1157,673,2
855,674,2
854,675,2
633,676,2
1347,676,2
1154,677,2
858,678,2
858,679,2
632,680,2
631,681,2
1350,681,2
1350,682,2
1351,683,2
1351,684,2
1352,685,2
1352,686,2
1353,687,2
1144,688,2
868,689,2
869,690,2
869,691,2
629,692,2
1355,692,2
1140,693,2
873,694,2
872,695,2
628,696,2
1357,696,2
1137,697,2
1136,698,2
878,699,2
627,700,2
1359,700,2
1133,701,2
882,702,2
879,703,2
1360,703,2
1130,704,2
1357,704,2
885,705,2
1351,705,2
887,706,2
1354,706,2
1128,707,2
625,708,2
1358,708,2
884,709,2
1362,709,2
1125,710,2
624,711,2
1367,711,2
893,712,2
623,713,2
1123,713,2
896,714,2
1367,714,2
1106,715,2
890,716,2
1121,716,2
900,717,2
1367,717,2
1101,718,2
622,719,2
1100,719,2
893,720,2
1120,720,2
905,721,2
621,722,2
1095,722,2
896,723,2
1119,723,2
909,724,2
1365,724,2
911,725,2
620,726,2
1089,726,2
913,727,2
1365,727,2
915,728,2
619,729,2
1084,729,2
898,730,2
1118,730,2
918,731,2
1118,731,2
920,732,2
1364,732,2
923,733,2
1364,733,2
925,734,2
1363,734,2
927,735,2
1117,735,2
929,736,2
1117,736,2
932,737,2
1363,737,2
934,738,2
1116,738,2
936,739,2
1116,739,2
938,740,2
1116,740,2
940,741,2
1116,741,2
943,742,2
1116,742,2
945,743,2
1055,743,2
616,744,2
1050,744,2
1361,744,2
950,745,2
1047,745,2
615,746,2
955,746,2
1043,746,2
1361,746,2
960,747,2
1040,747,2
1361,747,2
965,748,2
969,748,2
1039,748,2
970,749,2
974,749,2
1114,749,2
975,750,2
979,750,2
1032,750,2
888,751,2
983,751,2
1009,751,2
1014,751,2
1018,751,2
1022,751,2
1026,751,2
1360,751,2
987,752,2
991,752,2
995,752,2
999,752,2
1003,752,2
1114,752,2
1114,753,2
1113,754,2
1113,755,2
1113,756,2
1113,757,2
1113,758,2
1112,759,2
1112,760,2
1364,761,2
1365,762,2
1366,763,2
1367,764,2
1367,765,2
1368,766,2
1369,767,2
1370,768,2
1371,769,2
1372,770,2
632,772,2
633,773,2
634,774,2
634,775,2
635,776,2
636,777,2
636,778,2
637,779,2
638,780,2
888,781,2
889,782,2
889,783,2
890,784,2
890,785,2
891,786,2
891,787,2
892,788,2
892,789,2
892,790,2
1106,791,2
1106,792,2
1106,793,2
1106,794,2
1105,795,2
1105,796,2
1105,797,2
1105,798,2
1105,799,2
1363,800,2
1362,801,2
1362,802,2
1361,803,2
1361,804,2
1360,805,2
1360,806,2
1359,807,2
1359,808,2
1358,809,2
659,811,2
660,812,2
661,813,2
661,814,2
662,815,2
1355,815,2
884,816,2
668,817,2
1101,817,2
882,818,2
675,819,2
1353,819,2
880,820,2
681,821,2
1104,821,2
686,822,2
687,823,2
1105,823,2
692,824,2
694,825,2
1350,825,2
699,826,2
700,827,2
1108,827,2
705,828,2
706,829,2
1109,829,2
711,830,2
713,831,2
1110,831,2
718,832,2
719,833,2
1112,833,2
723,834,2
1112,834,2
727,835,2
1113,835,2
730,836,2
1340,836,2
862,837,2
735,838,2
1115,838,2
739,839,2
1116,839,2
743,840,2
1331,840,2
858,841,2
857,842,2
748,843,2
1325,843,2
1119,844,2
854,845,2
751,846,2
1319,846,2
1316,847,2
1122,848,2
850,849,2
849,850,2
756,851,2
1309,851,2
1306,852,2
1125,853,2
1126,854,2
843,855,2
761,856,2
841,856,2
835,857,2
1302,857,2
832,858,2
764,859,2
828,859,2
765,860,2
824,860,2
817,861,2
1130,861,2
814,862,2
768,863,2
811,863,2
769,864,2
807,864,2
800,865,2
1133,865,2
797,866,2
1295,866,2
793,867,2
773,868,2
790,868,2
783,869,2
1135,869,2
780,870,2
1291,870,2
1137,871,2
1138,873,2
1139,875,2
1141,877,2
1284,879,2
1282,881,2
1281,883,2
1275,885,2
1279,885,2
1269,886,2
1273,886,2
1260,887,2
1264,887,2
1252,888,2
1256,888,2
1242,889,2
1246,889,2
1250,889,2
1236,890,2
1240,890,2
1227,891,2
1231,891,2
1218,892,2
1223,892,2
1213,893,2
1217,893,2
1213,895,2
1213,897,2
1213,899,2
1213,901,2
1213,903,2
1161,905,2
1164,907,2
1213,908,2
1169,910,2
1213,911,2
1174,913,2
1213,914,2
1179,916,2
1213,917,2
1184,919,2
1213,920,2
1213,922,2
1192,924,2
1213,925,2
1197,927,2
1213,928,2
1202,930,2
1213,931,2
1207,933,2
1209,935,2
1213,936,2
1019,539,1
1020,539,2
1021,539,2
1022,539,2
1014,540,2
1015,540,2
1016,540,2
1017,540,2
1018,540,2
1023,540,2
1024,540,2
1011,541,2
1012,541,2
1013,541,2
1025,541,2
1026,541,2
1011,542,2
1027,542,2
1028,542,2
1010,543,2
1029,543,2
1030,543,2
1010,544,2
1031,544,2
1032,544,2
1009,545,2
1033,545,2
1009,546,2
1050,494,1
1050,495,2
1050,496,2
1051,497,2
1051,498,2
1051,499,2
1051,500,2
1052,501,2
1052,502,2
1052,503,2
1052,504,2
1053,505,2
1053,506,2
1053,507,2
1053,508,2
1054,509,2
1054,510,2
1054,511,2
1055,512,2
1055,513,2
1056,514,2
1056,515,2
1057,516,2
1057,517,2
1058,518,2
1058,519,2
1059,520,2
1059,521,2
1060,522,2
1060,523,2
1061,524,2
1061,525,2
1062,526,2
1062,527,2
1063,528,2
1063,529,2
1064,530,2
1064,531,2
1064,532,2
1064,533,2
1064,534,2
1065,535,2
1065,536,2
1065,537,2
1065,538,2
1064,539,2
1064,540,2
1063,541,2
1062,542,2
